Feature,Importance
EXT_SOURCE_3,0.031881046
EXT_SOURCE_2,0.029869469
NAME_EDUCATION_TYPE_Higher education,0.02190482
CODE_GENDER_M,0.017395156
FLAG_DOCUMENT_3,0.011416237
NAME_EDUCATION_TYPE_Secondary / secondary special,0.011225281
FLAG_OWN_CAR_Y,0.011153211
NAME_INCOME_TYPE_Working,0.010904748
EMPLOYMENT_YEARS,0.010849451
NAME_CONTRACT_TYPE_Revolving loans,0.009906381
REGION_RATING_CLIENT_W_CITY,0.009744917
CREDIT_GROUP_High Credit,0.009704987
REG_CITY_NOT_LIVE_CITY,0.008901833
NAME_FAMILY_STATUS_Married,0.008774116
AMT_GOODS_PRICE,0.008593617
AGE_YEARS,0.008521619
AGE_GROUP_60-70,0.0083343815
DEF_60_CNT_SOCIAL_CIRCLE,0.007977281
CREDIT_GROUP_Upper Middle,0.007850051
OCCUPATION_TYPE_Core staff,0.007560941
AMT_CREDIT,0.0074173496
DEF_30_CNT_SOCIAL_CIRCLE,0.0068728696
DAYS_EMPLOYED,0.006832407
AMT_ANNUITY,0.0068019084
ORGANIZATION_TYPE_XNA,0.006799313
AMT_REQ_CREDIT_BUREAU_QRT,0.0067025935
ORGANIZATION_TYPE_Self-employed,0.006698954
FLAG_DOCUMENT_13,0.0066411495
INCOME_GROUP_High Income,0.0064700055
FLOORSMAX_MEDI,0.0062954566
FLAG_DOCUMENT_18,0.0061360947
FLAG_DOCUMENT_16,0.0061097774
ORGANIZATION_TYPE_Military,0.006086166
OCCUPATION_TYPE_Low-skill Laborers,0.006037985
NAME_INCOME_TYPE_State servant,0.0060356003
DAYS_BIRTH,0.005960269
REGION_RATING_CLIENT,0.005894897
INCOME_BAND_Lower_Middle,0.0058255806
ORGANIZATION_TYPE_Construction,0.0058235126
ORGANIZATION_TYPE_Industry: type 9,0.0058201803
FLAG_DOCUMENT_11,0.00578736
ORGANIZATION_TYPE_Restaurant,0.005715745
ANNUITY_BURDEN,0.005662763
ORGANIZATION_TYPE_Transport: type 3,0.0056507234
FLAG_EMP_PHONE,0.0056397202
INCOME_BAND_Upper_Middle,0.005589611
ANNUITY_TO_INCOME,0.0055304077
FLOORSMAX_MODE,0.0054361173
CREDIT_TO_INCOME,0.0054295794
DAYS_ID_PUBLISH,0.0054287515
ORGANIZATION_TYPE_Trade: type 2,0.0054200473
FLAG_WORK_PHONE,0.0054140855
YEARS_BEGINEXPLUATATION_MEDI,0.005358212
