OCCUPATION_TYPE,TARGET
Low-skill Laborers,17.152412804586717
Drivers,11.326130194054722
Waiters/barmen staff,11.275964391691394
Security staff,10.74244904032138
Cooking staff,10.443995963673057
Sales staff,9.631798641829171
Cleaning staff,9.606705351386202
Laborers,7.99329713610904
Realty agents,7.8561917443408795
Secretaries,7.049808429118774
Medicine staff,6.700245988052009
Private service staff,6.598793363499246
IT staff,6.4638783269961975
HR staff,6.394316163410302
Core staff,6.303953572723975
Managers,6.214028356183613
High skill tech staff,6.1599297012302285
Accountants,4.830327117089575
